,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Wine,Fruit,Meat,Fish,Sweets,Gold,NumDealsPurchases,Web,Catalog,Store,WebVisits,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spending,Time_With_Company,Children,Has_Child,TotalAcceptedCmp,Family_size
25,32,Graduate,Partner,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,103.66666666666667,1,Has Child,0,3
26,56,Postgraduate,Partner,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,97.83333333333333,0,No Child,1,2
27,32,Postgraduate,Single,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,91.8,0,No Child,0,1
28,58,Postgraduate,Partner,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,104.33333333333333,0,No Child,0,2
29,51,Graduate,Partner,40548.0,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,111.43333333333334,1,Has Child,1,3
30,69,Postgraduate,Single,46610.0,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,110.8,2,Has Child,1,3
31,75,Postgraduate,Partner,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,107.0,0,No Child,0,2
32,70,Postgraduate,Single,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,100.66666666666667,2,Has Child,0,3
33,51,Postgraduate,Partner,67353.0,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,96.53333333333333,1,Has Child,0,3
34,45,Undergraduate,Partner,23718.0,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,100.53333333333333,1,Has Child,0,3
35,48,Graduate,Single,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,95.13333333333334,1,Has Child,0,2
36,78,Postgraduate,Single,48948.0,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,107.63333333333334,0,No Child,2,1
37,41,Graduate,Partner,80011.0,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,104.73333333333333,1,Has Child,0,3
38,36,Postgraduate,Partner,20559.0,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,106.33333333333333,1,Has Child,0,3
39,64,Graduate,Partner,21994.0,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,108.93333333333334,1,Has Child,0,3
40,46,Postgraduate,Partner,7500.0,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,99.53333333333333,1,Has Child,0,3
41,45,Graduate,Single,79941.0,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,90.56666666666666,0,No Child,0,1
42,25,Undergraduate,Partner,7500.0,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,110.43333333333334,0,No Child,1,2
43,53,Graduate,Partner,41728.0,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,103.9,1,Has Child,0,3
44,67,Postgraduate,Partner,72550.0,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,110.46666666666667,2,Has Child,0,4
45,64,Graduate,Single,65486.0,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,92.13333333333334,1,Has Child,0,2
46,57,Postgraduate,Partner,79143.0,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,113.43333333333334,0,No Child,0,2
47,44,Graduate,Single,35790.0,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,108.63333333333334,1,Has Child,0,2
48,44,Graduate,Single,82582.0,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,91.26666666666667,0,No Child,3,1
49,43,Graduate,Partner,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,103.26666666666667,2,Has Child,0,4
50,66,Postgraduate,Partner,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,110.1,0,No Child,2,2
51,55,Graduate,Single,70287.0,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,105.63333333333334,0,No Child,1,1
52,33,Graduate,Single,27938.0,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,92.6,1,Has Child,0,2
53,53,Postgraduate,Partner,55954.0,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,94.46666666666667,1,Has Child,0,3
54,39,Postgraduate,Single,75777.0,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,1438,102.53333333333333,0,No Child,3,1
55,46,Graduate,Partner,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,112.53333333333333,2,Has Child,0,4
56,69,Graduate,Single,61823.0,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,107.06666666666666,1,Has Child,0,2
57,70,Postgraduate,Single,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,103.3,1,Has Child,0,2
58,73,Graduate,Partner,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,97.36666666666666,0,No Child,0,2
59,50,Graduate,Partner,25721.0,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,104.0,1,Has Child,1,3
60,54,Graduate,Partner,32474.0,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,92.16666666666667,2,Has Child,0,4
61,42,Undergraduate,Single,88194.0,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1274,93.93333333333334,1,Has Child,3,2
62,63,Graduate,Partner,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,99.7,1,Has Child,0,3
63,51,Graduate,Partner,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,105.43333333333334,3,Has Child,0,5
64,67,Postgraduate,Partner,66991.0,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,112.4,0,No Child,0,2
65,62,Graduate,Partner,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,106.16666666666667,1,Has Child,0,3
66,46,Postgraduate,Partner,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,105.53333333333333,2,Has Child,1,4
67,69,Graduate,Partner,28332.0,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,92.53333333333333,0,No Child,0,2
68,44,Graduate,Single,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,109.1,1,Has Child,0,2
69,49,Postgraduate,Partner,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,112.9,0,No Child,1,2
70,45,Graduate,Single,75825.0,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,2209,111.36666666666666,0,No Child,2,1
71,45,Undergraduate,Partner,26326.0,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,100.46666666666667,0,No Child,0,2
72,56,Graduate,Partner,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,108.63333333333334,0,No Child,2,2
73,36,Graduate,Single,29760.0,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,112.83333333333333,1,Has Child,0,2
74,52,Graduate,Partner,26304.0,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,102.9,1,Has Child,0,3
75,48,Undergraduate,Partner,23559.0,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,102.56666666666666,1,Has Child,0,3
76,58,Postgraduate,Partner,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,104.33333333333333,0,No Child,0,2
77,34,Graduate,Single,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,94.66666666666667,0,No Child,0,1
78,61,Graduate,Partner,29440.0,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,101.26666666666667,2,Has Child,0,4
79,51,Postgraduate,Partner,36138.0,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,151,102.13333333333334,2,Has Child,1,4
80,64,Graduate,Single,50388.0,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,372,91.6,1,Has Child,3,2
81,48,Graduate,Partner,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,92.13333333333334,0,No Child,1,2
82,54,Graduate,Partner,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,95.83333333333333,1,Has Child,0,3
83,49,Postgraduate,Single,42394.0,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,93.8,1,Has Child,0,2
84,51,Postgraduate,Partner,23626.0,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,91.73333333333333,1,Has Child,0,3
85,38,Graduate,Partner,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,91.8,1,Has Child,0,3
86,61,Graduate,Single,47916.0,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,110.0,1,Has Child,1,2
87,49,Graduate,Single,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,105.33333333333333,2,Has Child,0,3
88,70,Undergraduate,Partner,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,978,97.53333333333333,0,No Child,1,2
89,38,Postgraduate,Partner,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,103.0,0,No Child,0,2
90,61,Undergraduate,Single,47823.0,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,101.9,1,Has Child,0,2
91,62,Postgraduate,Single,34554.0,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,93.56666666666666,1,Has Child,0,2
92,42,Graduate,Partner,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,105.03333333333333,1,Has Child,0,3
93,76,Postgraduate,Partner,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,104.13333333333334,0,No Child,0,2
94,62,Graduate,Partner,87195.0,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,92.26666666666667,0,No Child,1,2
95,42,Undergraduate,Partner,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,97.23333333333333,1,Has Child,0,3
96,57,Graduate,Partner,49096.0,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,99.8,2,Has Child,0,4
97,52,Graduate,Partner,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,107.6,2,Has Child,0,4
98,43,Graduate,Single,38557.0,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,109.1,1,Has Child,0,2
99,61,Postgraduate,Partner,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,109.5,0,No Child,0,2
100,42,Graduate,Partner,77298.0,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,98.5,1,Has Child,0,3
101,30,Postgraduate,Single,68126.0,0,0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,1820,110.4,0,No Child,2,1
102,58,Postgraduate,Partner,57288.0,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,90.66666666666667,1,Has Child,1,3
103,30,Graduate,Single,86037.0,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,108.63333333333334,0,No Child,3,1
104,41,Postgraduate,Partner,43974.0,1,0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,109.33333333333333,1,Has Child,0,3
105,59,Graduate,Single,50785.0,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,100.26666666666667,2,Has Child,0,3
106,51,Graduate,Partner,90765.0,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,95.73333333333333,0,No Child,2,2
107,43,Undergraduate,Partner,36550.0,1,0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,107.03333333333333,1,Has Child,0,3
108,54,Undergraduate,Partner,30753.0,1,1,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,102.3,2,Has Child,0,4
109,52,Graduate,Partner,21918.0,1,0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,98.1,1,Has Child,0,3
110,68,Postgraduate,Partner,56129.0,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,103.0,1,Has Child,0,3
111,54,Postgraduate,Single,32557.0,1,0,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,94.7,1,Has Child,1,2
112,36,Postgraduate,Partner,19510.0,2,0,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,100.46666666666667,2,Has Child,0,4
113,45,Graduate,Single,30992.0,1,0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,104.96666666666667,1,Has Child,0,2
114,38,Graduate,Single,101970.0,0,0,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,106.33333333333333,0,No Child,4,1
115,56,Undergraduate,Partner,71488.0,0,0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,107.06666666666666,0,No Child,0,2
116,37,Graduate,Single,79607.0,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,105.0,0,No Child,1,1
117,68,Postgraduate,Partner,54348.0,1,1,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,91.23333333333333,2,Has Child,0,4
118,65,Postgraduate,Partner,77376.0,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,92.2,2,Has Child,0,4
119,69,Graduate,Partner,62998.0,0,1,30-09-2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,99.6,1,Has Child,0,3
120,63,Postgraduate,Single,61331.0,1,1,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,106.4,2,Has Child,0,3
121,52,Graduate,Partner,73448.0,0,0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,95.16666666666667,0,No Child,0,2
122,57,Postgraduate,Partner,41551.0,1,1,14-08-2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,101.16666666666667,2,Has Child,0,4
123,54,Postgraduate,Partner,62981.0,0,0,17-03-2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,1482,106.16666666666667,0,No Child,1,2
124,45,Undergraduate,Single,9548.0,1,0,08-08-2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,113.53333333333333,1,Has Child,0,2
125,62,Postgraduate,Partner,33762.0,2,1,07-07-2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,102.43333333333334,3,Has Child,0,5
126,48,Postgraduate,Single,35860.0,1,1,19-05-2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,91.9,2,Has Child,2,3
127,56,Postgraduate,Single,36921.0,1,1,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,101.73333333333333,2,Has Child,0,3
128,29,Postgraduate,Single,92859.0,0,0,19-10-2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,111.13333333333334,0,No Child,0,1
129,45,Postgraduate,Partner,65104.0,0,1,14-11-2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,98.1,1,Has Child,1,3
130,59,Graduate,Partner,86111.0,0,0,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,105.06666666666666,0,No Child,0,2
131,47,Postgraduate,Single,68352.0,0,1,28-08-2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,100.7,1,Has Child,0,2
132,33,Graduate,Partner,41883.0,1,0,19-03-2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,106.1,1,Has Child,0,3
133,45,Graduate,Partner,59809.0,0,2,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,111.16666666666667,2,Has Child,0,4
134,46,Graduate,Partner,23957.0,1,0,28-10-2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,110.83333333333333,1,Has Child,1,3
135,40,Graduate,Partner,38547.0,1,0,28-08-2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,100.7,1,Has Child,0,3
136,48,Undergraduate,Partner,35688.0,2,1,22-08-2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,113.06666666666666,3,Has Child,0,5
137,55,Postgraduate,Partner,49605.0,0,0,21-06-2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,90.8,0,No Child,0,2
138,68,Postgraduate,Partner,59354.0,0,2,24-04-2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,92.73333333333333,2,Has Child,0,4
139,52,Graduate,Partner,65747.0,0,1,07-03-2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,460,94.33333333333333,1,Has Child,1,3
140,49,Undergraduate,Partner,46344.0,0,1,14-12-2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,109.26666666666667,1,Has Child,0,3
141,33,Graduate,Single,34176.0,1,0,12-05-2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,92.13333333333334,1,Has Child,0,2
142,69,Postgraduate,Partner,61010.0,0,1,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,111.46666666666667,1,Has Child,0,3
143,72,Graduate,Partner,69372.0,0,0,19-02-2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1381,107.03333333333333,0,No Child,3,2
144,63,Graduate,Single,49967.0,0,1,08-07-2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,102.4,1,Has Child,0,2
145,43,Graduate,Single,60199.0,1,2,12-09-2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,100.2,3,Has Child,0,4
146,44,Graduate,Partner,55375.0,0,1,17-10-2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,99.03333333333333,1,Has Child,0,3
147,66,Graduate,Single,80317.0,0,0,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,100.96666666666667,0,No Child,0,1
148,63,Postgraduate,Single,30523.0,2,1,01-07-2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,102.63333333333334,3,Has Child,0,4
149,76,Postgraduate,Partner,70356.0,0,0,05-11-2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,110.56666666666666,0,No Child,0,2
150,37,Graduate,Partner,23228.0,1,0,05-01-2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,96.36666666666666,1,Has Child,0,3
151,46,Postgraduate,Single,74165.0,0,0,01-05-2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,104.66666666666667,0,No Child,0,1
152,55,Graduate,Partner,43482.0,2,1,13-11-2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,98.13333333333334,3,Has Child,0,5
153,68,Graduate,Single,62551.0,0,0,18-11-2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,421,97.96666666666667,0,No Child,1,1
154,62,Graduate,Single,52332.0,0,0,28-08-2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,259,100.7,0,No Child,1,1
155,33,Graduate,Single,66951.0,0,0,02-11-2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,98.5,0,No Child,0,1
